,sale_id,sale_ts,sale_date,weekday,user_id,amount,rn,first_purchase_flag,device_id,device_type,operating_system,num_items,campaign,campaign_event_ts,channel,sale_year,sale_month,sale_week
68,68,2014-04-23 11:47:00,2014-04-23,2,342,967.3595262243872,1,0,478.0,Amazon Fire,Inferno,5,,,organic,2014,4,17
69,69,2014-04-23 01:37:00,2014-04-23,2,934,1547.546265444082,1,0,1261.0,Android,KitKat,5,OGMRY2,2014-04-10 12:08:00,campaign,2014,4,17
70,70,2014-04-24 11:45:00,2014-04-24,3,172,512.8095883246197,1,1,231.0,iOS,20,2,E35Y1Z,2014-04-12 16:32:00,campaign,2014,4,17
71,71,2014-04-24 00:24:00,2014-04-24,3,3343,403.22965265333886,1,0,4766.0,Android,KitKat,2,1BRIGC,2014-01-11 21:08:00,campaign,2014,4,17
72,72,2014-04-26 14:52:00,2014-04-26,5,574,843.2972787124659,1,1,776.0,Amazon Fire,Fire2,2,,,organic,2014,4,17
73,73,2014-04-26 20:52:00,2014-04-26,5,2155,1090.6693138449652,1,0,3053.0,iOS,9,2,,,organic,2014,4,17
74,74,2014-04-27 17:41:00,2014-04-27,6,829,122.4479193232212,1,0,1115.0,iOS,20,4,,,organic,2014,4,17
75,75,2014-04-28 16:23:00,2014-04-28,0,661,951.7555170841173,1,1,898.0,Amazon Fire,Fire2,7,AEJF2Y,2014-02-18 21:17:00,campaign,2014,4,18
76,76,2014-04-29 09:17:00,2014-04-29,1,3491,1399.4484592696137,1,1,,,,3,,,organic,2014,4,18
77,77,2014-04-30 22:57:00,2014-04-30,2,159,1415.3158444964483,1,1,215.0,iOS,20,2,1LYW47,2013-12-09 17:01:00,campaign,2014,4,18
78,78,2014-04-30 16:31:00,2014-04-30,2,342,927.2609700766974,1,0,478.0,Amazon Fire,Inferno,2,,,organic,2014,4,18
79,79,2014-05-03 07:54:00,2014-05-03,5,2089,524.6501365923014,1,1,2947.0,Android,Marshmallow,1,1ZDQF0,2014-01-26 17:15:00,campaign,2014,5,18
80,80,2014-05-03 09:06:00,2014-05-03,5,3343,321.1943829610527,1,0,4766.0,Android,KitKat,3,1BRIGC,2014-01-11 21:08:00,campaign,2014,5,18
81,81,2014-05-04 15:47:00,2014-05-04,6,144,150.24774881921797,1,0,193.0,iOS,7,9,,,organic,2014,5,18
82,82,2014-05-04 02:26:00,2014-05-04,6,2385,266.64791664743456,1,1,3374.0,iOS,8,2,AKO0SH,2014-04-26 02:56:00,campaign,2014,5,18
83,83,2014-05-04 10:07:00,2014-05-04,6,2546,1570.8159652905827,1,0,3582.0,iOS,20,6,,,organic,2014,5,18
84,84,2014-05-05 22:59:00,2014-05-05,0,514,1200.71783023862,1,0,695.0,Android,Lollipop,2,XUL7TT,2014-01-09 07:25:00,campaign,2014,5,19
85,85,2014-05-05 23:01:00,2014-05-05,0,3343,423.83813894689524,1,0,4766.0,Android,KitKat,2,1BRIGC,2014-01-11 21:08:00,campaign,2014,5,19
86,86,2014-05-07 03:51:00,2014-05-07,2,1825,1347.6872684398745,1,0,2557.0,Amazon Fire,Inferno,1,C4KVI2,2013-11-29 21:19:00,campaign,2014,5,19
87,87,2014-05-11 06:52:00,2014-05-11,6,212,466.07604155048597,1,1,290.0,iOS,8,3,,,organic,2014,5,19
88,88,2014-05-11 13:17:00,2014-05-11,6,3343,319.4917214303542,1,0,4766.0,Android,KitKat,1,1BRIGC,2014-01-11 21:08:00,campaign,2014,5,19
89,89,2014-05-17 00:38:00,2014-05-17,5,574,886.5842190017157,1,0,776.0,Amazon Fire,Fire2,2,,,organic,2014,5,20
90,90,2014-05-18 15:48:00,2014-05-18,6,957,41.423469742249495,1,0,1296.0,Android,KitKat,1,,,organic,2014,5,20
91,91,2014-05-21 18:05:00,2014-05-21,2,869,768.1645798277184,1,1,1167.0,Android,Jawbreaker,5,A20MP6,2014-02-16 08:43:00,campaign,2014,5,21
92,92,2014-05-22 05:17:00,2014-05-22,3,144,118.12228833518031,1,0,193.0,iOS,7,3,,,organic,2014,5,21
93,93,2014-05-22 12:07:00,2014-05-22,3,223,365.5092296235545,1,1,303.0,Android,KitKat,3,,,organic,2014,5,21
94,94,2014-05-23 08:57:00,2014-05-23,4,1855,1055.0161540210718,1,1,2594.0,Android,Lollipop,2,3J5HIF,2014-04-26 22:01:00,campaign,2014,5,21
95,95,2014-05-28 21:57:00,2014-05-28,2,1855,748.6208852230542,1,0,2594.0,Android,Lollipop,2,3J5HIF,2014-04-26 22:01:00,campaign,2014,5,22
96,96,2014-05-28 01:20:00,2014-05-28,2,1939,1058.301389808932,1,1,2722.0,iOS,8,3,FV36OA,2014-04-18 13:24:00,campaign,2014,5,22
97,97,2014-05-31 23:02:00,2014-05-31,5,212,405.28857705225914,1,0,290.0,iOS,8,3,,,organic,2014,5,22
98,98,2014-06-01 10:19:00,2014-06-01,6,934,1379.1243467895438,1,0,1261.0,Android,KitKat,2,OGMRY2,2014-04-10 12:08:00,campaign,2014,6,22
99,99,2014-06-01 08:47:00,2014-06-01,6,2680,76.03870811862535,1,1,3782.0,iOS,20,2,ZDNTT7,2014-05-28 09:13:00,campaign,2014,6,22
100,100,2014-06-02 01:45:00,2014-06-02,0,934,1904.749370584758,1,0,1261.0,Android,KitKat,4,OGMRY2,2014-04-10 12:08:00,campaign,2014,6,23
101,101,2014-06-02 08:10:00,2014-06-02,0,2608,686.1535001918812,1,1,3675.0,iOS,20,1,,,organic,2014,6,23
102,102,2014-06-05 13:34:00,2014-06-05,3,144,156.88714963569842,1,0,193.0,iOS,7,5,,,organic,2014,6,23
103,103,2014-06-05 02:08:00,2014-06-05,3,342,938.5481737638763,1,0,478.0,Amazon Fire,Inferno,3,,,organic,2014,6,23
104,104,2014-06-06 16:30:00,2014-06-06,4,2250,510.1797493602072,1,0,3181.0,Android,Marshmallow,2,,,organic,2014,6,23
105,105,2014-06-07 03:12:00,2014-06-07,5,1402,944.8482640791688,1,1,1962.0,iOS,8,1,ZDNTT7,2014-05-30 05:57:00,campaign,2014,6,23
106,106,2014-06-08 10:10:00,2014-06-08,6,159,1285.353506267475,1,0,215.0,iOS,20,1,1LYW47,2013-12-09 17:01:00,campaign,2014,6,23
107,107,2014-06-08 20:07:00,2014-06-08,6,957,15.703788043394225,1,0,1296.0,Android,KitKat,1,,,organic,2014,6,23
108,108,2014-06-08 20:29:00,2014-06-08,6,2793,449.75729606597747,1,0,3953.0,iOS,8,3,MOTVAN,2013-11-03 17:18:00,campaign,2014,6,23
109,109,2014-06-10 05:10:00,2014-06-10,1,223,662.5312595958483,1,0,303.0,Android,KitKat,1,,,organic,2014,6,24
110,110,2014-06-10 19:40:00,2014-06-10,1,869,1163.607312270457,1,0,1167.0,Android,Jawbreaker,1,A20MP6,2014-02-16 08:43:00,campaign,2014,6,24
111,111,2014-06-10 12:30:00,2014-06-10,1,1402,1947.1322098449125,1,0,1962.0,iOS,8,2,ZDNTT7,2014-05-30 05:57:00,campaign,2014,6,24
112,112,2014-06-11 22:26:00,2014-06-11,2,1402,1254.8741513044868,1,0,1962.0,iOS,8,2,ZDNTT7,2014-05-30 05:57:00,campaign,2014,6,24
113,113,2014-06-11 14:41:00,2014-06-11,2,3117,1730.6336059689575,1,1,4432.0,iOS,10,2,88UQUQ,2014-03-05 23:03:00,campaign,2014,6,24
114,114,2014-06-14 22:20:00,2014-06-14,5,633,189.64253678470246,1,1,865.0,Amazon Fire,Inferno,2,INNIQD,2014-03-28 16:30:00,campaign,2014,6,24
115,115,2014-06-14 05:25:00,2014-06-14,5,1652,198.84525707551498,1,0,2309.0,iOS,10,2,0837KH,2014-02-02 00:27:00,campaign,2014,6,24
116,116,2014-06-16 22:12:00,2014-06-16,0,144,210.35734661553693,1,0,193.0,iOS,7,1,,,organic,2014,6,25
117,117,2014-06-16 09:56:00,2014-06-16,0,2155,1588.4612297159274,1,0,3053.0,iOS,9,7,,,organic,2014,6,25
118,118,2014-06-17 03:11:00,2014-06-17,1,1402,1790.022886026969,1,0,1962.0,iOS,8,2,ZDNTT7,2014-05-30 05:57:00,campaign,2014,6,25
119,119,2014-06-17 09:10:00,2014-06-17,1,2285,156.69135002889317,1,0,3232.0,Android,Marshmallow,1,6HBW2A,2014-03-22 00:07:00,campaign,2014,6,25
120,120,2014-06-17 21:32:00,2014-06-17,1,2796,780.8998760785132,1,1,3958.0,iOS,7,1,,,organic,2014,6,25
121,121,2014-06-20 19:21:00,2014-06-20,4,2546,2831.315984135714,1,0,3582.0,iOS,20,2,,,organic,2014,6,25
122,122,2014-06-21 07:34:00,2014-06-21,5,1808,148.1467185469265,1,1,2533.0,iOS,8,8,VB9NP0,2014-05-15 08:39:00,campaign,2014,6,25
123,123,2014-06-21 04:31:00,2014-06-21,5,1836,71.76585347874645,1,1,2575.0,Android,Lollipop,3,VX597U,2014-02-12 19:30:00,campaign,2014,6,25
124,124,2014-06-21 02:40:00,2014-06-21,5,3399,677.5961339526361,1,0,4872.0,Android,Jawbreaker,2,9VTGJV,2013-12-29 10:06:00,campaign,2014,6,25
125,125,2014-06-22 07:27:00,2014-06-22,6,2644,269.7595561593816,1,1,3724.0,iOS,8,2,,,organic,2014,6,25
126,126,2014-06-25 05:12:00,2014-06-25,2,2066,853.4515323850987,1,1,2913.0,Android,Marshmallow,2,,,organic,2014,6,26
127,127,2014-06-27 09:36:00,2014-06-27,4,2812,2440.2075168259103,1,1,3989.0,Android,Lollipop,5,Z53CMW,2014-05-17 00:12:00,campaign,2014,6,26
128,128,2014-06-30 21:02:00,2014-06-30,0,1836,244.9352607286337,1,0,2575.0,Android,Lollipop,1,VX597U,2014-02-12 19:30:00,campaign,2014,6,27
129,129,2014-07-01 14:34:00,2014-07-01,1,2608,933.0982237357423,1,0,3675.0,iOS,20,1,,,organic,2014,7,27
130,130,2014-07-03 15:32:00,2014-07-03,3,223,315.5885331520433,1,0,303.0,Android,KitKat,1,,,organic,2014,7,27
131,131,2014-07-03 07:33:00,2014-07-03,3,2155,1263.6670692238627,1,0,3053.0,iOS,9,9,,,organic,2014,7,27
132,132,2014-07-04 15:56:00,2014-07-04,4,1421,282.9170230747073,1,1,1997.0,Amazon Fire,Inferno,4,6HBW2A,2014-05-07 07:37:00,campaign,2014,7,27
133,133,2014-07-05 00:29:00,2014-07-05,5,1187,529.6995958277065,1,1,1631.0,Amazon Fire,Inferno,1,,,organic,2014,7,27
134,134,2014-07-06 10:01:00,2014-07-06,6,144,128.47486984538094,1,0,193.0,iOS,7,3,,,organic,2014,7,27
135,135,2014-07-06 19:24:00,2014-07-06,6,957,54.359358271003295,1,0,1296.0,Android,KitKat,2,,,organic,2014,7,27
136,136,2014-07-07 19:05:00,2014-07-07,0,1402,1492.148849236299,1,0,1962.0,iOS,8,9,ZDNTT7,2014-05-30 05:57:00,campaign,2014,7,28
137,137,2014-07-07 13:21:00,2014-07-07,0,1808,224.218416972916,1,0,2533.0,iOS,8,2,VB9NP0,2014-05-15 08:39:00,campaign,2014,7,28
138,138,2014-07-08 21:41:00,2014-07-08,1,144,235.9063965687913,1,0,193.0,iOS,7,3,,,organic,2014,7,28
139,139,2014-07-13 20:10:00,2014-07-13,6,1421,222.43827212832355,1,0,1997.0,Amazon Fire,Inferno,2,6HBW2A,2014-05-07 07:37:00,campaign,2014,7,28
140,140,2014-07-13 19:27:00,2014-07-13,6,1963,1280.0120898562216,1,0,2762.0,Android,Marshmallow,8,,,organic,2014,7,28
141,141,2014-07-13 00:41:00,2014-07-13,6,2644,244.08983841218608,1,0,3724.0,iOS,8,2,,,organic,2014,7,28
142,142,2014-07-14 00:00:00,2014-07-14,0,432,2040.7264813697159,1,1,602.0,Android,KitKat,1,,,organic,2014,7,29
143,143,2014-07-15 12:48:00,2014-07-15,1,212,841.64304389401,1,0,290.0,iOS,8,1,,,organic,2014,7,29
144,144,2014-07-15 10:07:00,2014-07-15,1,2155,2178.235822316767,1,0,3053.0,iOS,9,2,,,organic,2014,7,29
145,145,2014-07-15 06:48:00,2014-07-15,1,3219,2428.8268192401583,1,0,4573.0,Amazon Fire,Fire1,1,6HBW2A,2013-10-14 01:00:00,campaign,2014,7,29
146,146,2014-07-17 22:40:00,2014-07-17,3,3088,135.57718862475684,1,1,4383.0,Amazon Fire,Fire1,2,,,organic,2014,7,29
147,147,2014-07-18 22:19:00,2014-07-18,4,957,90.72664366845021,1,0,1296.0,Android,KitKat,1,,,organic,2014,7,29
148,148,2014-07-18 14:45:00,2014-07-18,4,1652,480.1195171022725,1,0,2309.0,iOS,10,2,0837KH,2014-02-02 00:27:00,campaign,2014,7,29
149,149,2014-07-18 20:52:00,2014-07-18,4,1890,1981.7263497782135,1,1,2644.0,iOS,20,3,,,organic,2014,7,29
150,150,2014-07-19 22:44:00,2014-07-19,5,1374,99.9573372931221,1,1,1919.0,Android,Marshmallow,5,FE91LN,2014-06-12 23:37:00,campaign,2014,7,29
151,151,2014-07-23 13:41:00,2014-07-23,2,1402,1171.2361285273275,1,0,1962.0,iOS,8,2,ZDNTT7,2014-05-30 05:57:00,campaign,2014,7,30
152,152,2014-07-24 00:05:00,2014-07-24,3,144,175.14979740252153,1,0,193.0,iOS,7,3,,,organic,2014,7,30
153,153,2014-07-24 15:51:00,2014-07-24,3,1836,81.12898301204052,1,0,2575.0,Android,Lollipop,3,VX597U,2014-02-12 19:30:00,campaign,2014,7,30
154,154,2014-07-26 09:09:00,2014-07-26,5,416,1004.5808097100273,1,1,583.0,Amazon Fire,Fire2,1,FE91LN,2014-07-20 12:35:00,campaign,2014,7,30
155,155,2014-07-27 23:27:00,2014-07-27,6,3088,77.8662593237578,1,0,4383.0,Amazon Fire,Fire1,2,,,organic,2014,7,30
156,156,2014-07-28 14:02:00,2014-07-28,0,514,1182.7056744499116,1,0,695.0,Android,Lollipop,3,XUL7TT,2014-01-09 07:25:00,campaign,2014,7,31
157,157,2014-07-30 06:26:00,2014-07-30,2,2796,550.7565436682413,1,0,3958.0,iOS,7,2,,,organic,2014,7,31
158,158,2014-08-01 02:31:00,2014-08-01,4,2796,956.1039878673494,1,0,3958.0,iOS,7,2,,,organic,2014,8,31
159,159,2014-08-01 04:47:00,2014-08-01,4,3377,591.1095374091616,1,0,4825.0,Android,Marshmallow,2,0IBF68,2013-11-22 21:20:00,campaign,2014,8,31
160,160,2014-08-02 20:24:00,2014-08-02,5,1187,482.3905406118963,1,0,1631.0,Amazon Fire,Inferno,2,,,organic,2014,8,31
161,161,2014-08-02 12:17:00,2014-08-02,5,2817,351.2074308395005,1,0,3996.0,Android,Lollipop,4,,,organic,2014,8,31
162,162,2014-08-04 07:48:00,2014-08-04,0,2260,904.1351187398908,1,1,3193.0,Amazon Fire,Fire2,2,1TNQYO,2014-07-23 23:26:00,campaign,2014,8,32
163,163,2014-08-08 04:36:00,2014-08-08,4,2260,1100.4001783736837,1,0,3193.0,Amazon Fire,Fire2,1,1TNQYO,2014-07-23 23:26:00,campaign,2014,8,32
164,164,2014-08-08 13:24:00,2014-08-08,4,2285,27.671170108577318,1,0,3232.0,Android,Marshmallow,2,6HBW2A,2014-03-22 00:07:00,campaign,2014,8,32
165,165,2014-08-08 23:56:00,2014-08-08,4,2628,2061.371267002185,1,1,3702.0,iOS,10,1,ZGJ4CZ,2014-07-12 16:51:00,campaign,2014,8,32
166,166,2014-08-10 14:11:00,2014-08-10,6,1451,636.8140921932074,1,1,2037.0,Amazon Fire,Fire2,2,,,organic,2014,8,32
167,167,2014-08-11 04:46:00,2014-08-11,0,144,224.4908444266549,1,0,193.0,iOS,7,2,,,organic,2014,8,33
168,168,2014-08-12 23:57:00,2014-08-12,1,650,2665.807051778079,1,1,882.0,Android,KitKat,6,FV36OA,2014-01-21 06:19:00,campaign,2014,8,33
169,169,2014-08-13 17:08:00,2014-08-13,2,104,634.3733267626184,1,1,146.0,Android,KitKat,1,DGLPMQ,2014-07-26 02:33:00,campaign,2014,8,33
170,170,2014-08-13 06:26:00,2014-08-13,2,829,370.67186165550146,1,0,1115.0,iOS,20,4,,,organic,2014,8,33
171,171,2014-08-13 22:13:00,2014-08-13,2,2066,827.6474221946797,1,0,2913.0,Android,Marshmallow,1,,,organic,2014,8,33
172,172,2014-08-13 15:23:00,2014-08-13,2,2644,333.3273336005866,1,0,3724.0,iOS,8,7,,,organic,2014,8,33
173,173,2014-08-14 22:53:00,2014-08-14,3,1402,1183.2123045626304,1,0,1962.0,iOS,8,3,ZDNTT7,2014-05-30 05:57:00,campaign,2014,8,33
174,174,2014-08-15 17:51:00,2014-08-15,4,84,991.9151698005627,1,1,120.0,Android,KitKat,4,RK2JMQ,2014-08-01 17:41:00,campaign,2014,8,33
175,175,2014-08-15 02:34:00,2014-08-15,4,223,517.8554933699104,1,0,303.0,Android,KitKat,1,,,organic,2014,8,33
176,176,2014-08-15 08:39:00,2014-08-15,4,1421,253.8831737657492,1,0,1997.0,Amazon Fire,Inferno,2,6HBW2A,2014-05-07 07:37:00,campaign,2014,8,33
177,177,2014-08-15 19:30:00,2014-08-15,4,2385,502.3812086123583,1,0,3374.0,iOS,8,2,AKO0SH,2014-04-26 02:56:00,campaign,2014,8,33
178,178,2014-08-16 06:45:00,2014-08-16,5,212,380.9424536749443,1,0,290.0,iOS,8,6,,,organic,2014,8,33
179,179,2014-08-16 22:10:00,2014-08-16,5,2066,645.4138837359393,1,0,2913.0,Android,Marshmallow,2,,,organic,2014,8,33
180,180,2014-08-17 12:13:00,2014-08-17,6,1421,238.6292072213471,1,0,1997.0,Amazon Fire,Inferno,2,6HBW2A,2014-05-07 07:37:00,campaign,2014,8,33
181,181,2014-08-17 05:10:00,2014-08-17,6,1451,546.0258004358599,1,0,2037.0,Amazon Fire,Fire2,1,,,organic,2014,8,33
182,182,2014-08-17 18:03:00,2014-08-17,6,1890,1031.3636797766208,1,0,2644.0,iOS,20,2,,,organic,2014,8,33
